,date,PERMNO,SHRCD,EXCHCD,TICKER,PRC,VOL,RET,SHROUT
4200276,2019-10,15824,11.0,1.0,,46.73,123322.0,0.206247,37578.0
4200277,2019-10,15826,11.0,1.0,,61.43,1383807.0,-0.008394,342633.0
4200278,2019-10,15830,73.0,3.0,,30.27,153.0,0.015091,375.0
4200279,2019-10,15831,11.0,3.0,,24.08,283151.0,0.189723,34497.0
4200280,2019-10,15833,11.0,3.0,,3.44,8827.0,0.045593,44107.0
4200281,2019-10,15837,11.0,3.0,,9.24,64749.0,0.08962300000000001,29368.0
4200282,2019-10,15838,11.0,3.0,,27.76,8312.0,0.035435,15443.0
4200283,2019-10,15839,73.0,3.0,,31.68,7805.0,0.016666999999999998,6150.0
4200284,2019-10,15840,11.0,3.0,,21.0,1166.0,-0.05149,8807.0
4200285,2019-10,15841,12.0,3.0,,2.62,1638.0,-0.035417000000000004,15796.0
4200286,2019-10,15842,73.0,3.0,,27.9649,2022.0,0.019501,1900.0
4200287,2019-10,15845,73.0,4.0,,41.1924,2783.0,0.033414,1850.0
4200288,2019-10,15846,31.0,3.0,,0.759,13947.0,0.042597,13843.0
4200289,2019-10,15847,11.0,3.0,,14.98,49481.0,-0.012525,45297.0
4200290,2019-10,15848,31.0,3.0,,6.19,7969.0,-0.106782,8464.0
4200291,2019-10,15849,12.0,3.0,,39.71,157288.0,0.11326,61991.0
4200292,2019-10,15850,11.0,3.0,,72.99,411060.0,0.021696,70351.0
4200293,2019-10,15853,11.0,3.0,,48.4,16741.0,0.072559,15303.0
4200294,2019-10,15854,12.0,3.0,,5.555,8973.0,-0.108204,7504.0
4200295,2019-10,15855,73.0,3.0,,33.48,2605.0,-0.003275,3000.0
4200296,2019-10,15856,11.0,3.0,,15.39,62551.0,-0.105752,36828.0
4200297,2019-10,15857,12.0,3.0,,25.29,42642.0,0.231856,34284.0
4200298,2019-10,15859,11.0,1.0,,50.05,103337.0,-0.042105,309005.0
4200299,2019-10,15860,11.0,1.0,,1.63,65018.0,-0.06857100000000001,85669.0
4200300,2019-10,15862,12.0,3.0,,0.6182,183096.0,-0.45292,169123.0
4200301,2019-10,15863,11.0,2.0,,1.7,33378.0,-0.190476,51973.0
4200302,2019-10,15881,73.0,4.0,,76.01,8715.0,0.254912,125.0
4200303,2019-10,15884,73.0,4.0,,19.39,166399.0,-0.065992,38250.0
4200304,2019-10,15885,73.0,4.0,,57.5361,141.0,0.04121,300.0
4200305,2019-10,15887,14.0,1.0,,16.32,19798.0,-0.041119,7200.0
4200306,2019-10,15888,73.0,4.0,,31.01,10323.0,-0.012351,23325.0
4200307,2019-10,15889,73.0,4.0,,82.5032,2522.0,0.011671,6870.0
4200308,2019-10,15890,73.0,4.0,,74.4459,588.0,0.012117,5870.0
4200309,2019-10,15891,73.0,4.0,,71.9592,1644.0,0.017795,6000.0
4200310,2019-10,15892,73.0,4.0,,74.271,3060.0,0.022252,5390.0
4200311,2019-10,15896,31.0,1.0,,6.47,28582.0,-0.078348,11602.0
4200312,2019-10,15898,12.0,3.0,,11.65,7101.0,-0.27142,18330.0
4200313,2019-10,15899,12.0,1.0,,10.07,680651.0,0.309493,148479.0
4200314,2019-10,15902,11.0,3.0,,0.84,13847.0,-0.086957,3134.0
4200315,2019-10,15903,73.0,3.0,,33.79,22310.0,0.005954,24400.0
4200316,2019-10,15904,31.0,3.0,,0.93,51160.0,-0.244148,2677.0
4200317,2019-10,15906,11.0,3.0,,21.05,6242.0,0.010562,13958.0
4200318,2019-10,15909,12.0,3.0,,120.79,560542.0,-0.03707,121922.0
4200319,2019-10,15912,11.0,3.0,,4.18,3574.0,-0.121849,7729.0
4200320,2019-10,15913,12.0,3.0,,2.73,6900.0,-0.245856,14514.0
4200321,2019-10,15914,11.0,3.0,,2.53,306102.0,-0.277143,66858.0
